Date of data download: 2015-08-20

These data have been downloaded from the Everglades Depth Estimation Network (EDEN) database through the Explore and View EDEN (EVE) web application. The attached README file provides a brief description of the data. For additional info about EDEN: http://sofia.usgs.gov/eden

Date,CP Daily median water Level(feet NAVD88),CP Water level data type (O=observed; E=estimated; H=hindcasted; D=dry; M=missing),Water level quality flag (F=final; P=provisional; R=real-time)
2009-09-22,0.67,O,F
2009-09-23,0.65,O,F
2009-09-24,0.62,O,F
2009-09-25,0.59,O,F
2009-09-26,0.57,O,F
2009-09-27,0.55,O,F
2009-09-28,0.54,O,F
2009-09-29,0.52,O,F
2009-09-30,0.5,O,F
2009-10-01,0.5,O,F
2009-10-02,0.5,O,F
2009-10-03,0.48,O,F
2009-10-04,0.46,O,F
2009-10-05,0.43,O,F
2009-10-06,0.41,O,F
2009-10-07,0.4,O,F
2009-10-08,0.4,O,F
2009-10-09,0.38,O,F
2009-10-10,0.36,O,F
2009-10-11,0.35,O,F
2009-10-12,0.32,O,F
2009-10-13,0.3,O,F
2009-10-14,0.28,O,F
2009-10-15,0.26,O,F
2009-10-16,0.24,O,F
2009-10-17,0.24,O,F
2009-10-18,0.24,O,F
2009-10-19,0.21,O,F
2009-10-20,0.19,O,F
2009-10-21,0.18,O,F
2009-10-22,0.17,O,F
2009-10-23,0.16,O,F
2009-10-24,0.16,O,F
2009-10-25,0.16,O,F
2009-10-26,0.15,O,F
2009-10-27,0.14,O,F
2009-10-28,0.14,O,F
2009-10-29,0.12,O,F
2009-10-30,0.1,O,F
2009-10-31,0.09,O,F
2009-11-01,0.08,O,F
2009-11-02,0.06,O,F
2009-11-03,0.04,O,F
2009-11-04,0.04,O,F
2009-11-05,0.03,O,F
2009-11-06,0.03,O,F
2009-11-07,0.01,O,F
2009-11-08,-0.01,O,F
2009-11-09,-0.04,O,F
2009-11-10,-0.05,O,F
2009-11-11,-0.01,O,F
2009-11-12,-0.01,O,F
2009-11-13,-0.01,O,F
2009-11-14,-0.02,O,F
2009-11-15,-0.03,O,F
2009-11-16,-0.05,O,F
2009-11-17,-0.05,O,F
2009-11-18,-0.05,O,F
2009-11-19,-0.06,O,F
2009-11-20,-0.05,O,F
2009-11-21,-0.05,O,F
2009-11-22,-0.05,O,F
2009-11-23,-0.05,O,F
2009-11-24,-0.05,O,F
2009-11-25,0.33,O,F
2009-11-26,0.35,O,F
2009-11-27,0.35,O,F
2009-11-28,0.32,O,F
2009-11-29,0.29,O,F
2009-11-30,0.28,O,F
2009-12-01,0.27,O,F
2009-12-02,0.24,O,F
2009-12-03,0.23,O,F
2009-12-04,0.24,O,F
2009-12-05,0.24,O,F
2009-12-06,0.24,O,F
2009-12-07,0.22,O,F
2009-12-08,0.21,O,F
2009-12-09,0.2,O,F
2009-12-10,0.19,O,F
2009-12-11,0.19,O,F
2009-12-12,0.16,O,F
2009-12-13,0.15,O,F
2009-12-14,0.15,O,F
2009-12-15,0.13,O,F
2009-12-16,0.13,O,F
2009-12-17,0.12,O,F
2009-12-18,0.12,O,F
2009-12-19,0.36,O,F
2009-12-20,0.36,O,F
2009-12-21,0.35,O,F
2009-12-22,0.34,O,F
2009-12-23,0.31,O,F
2009-12-24,0.28,O,F
2009-12-25,0.26,O,F
2009-12-26,0.27,O,F
2009-12-27,0.25,O,F
2009-12-28,0.24,O,F
2009-12-29,0.23,O,F
2009-12-30,0.2,O,F
2009-12-31,0.17,O,F
2010-01-01,0.17,O,F
2010-01-02,0.19,O,F
2010-01-03,0.16,O,F
2010-01-04,0.15,O,F
2010-01-05,0.12,O,F
2010-01-06,0.11,O,F
2010-01-07,0.09,O,F
2010-01-08,0.06,O,F
2010-01-09,0.09,O,F
2010-01-10,0.13,O,F
2010-01-11,0.08,O,F
2010-01-12,0.06,O,F
2010-01-13,0.04,O,F
2010-01-14,0.01,O,F
2010-01-15,-0.03,O,F
2010-01-16,-0.06,O,F
2010-01-17,-0.06,O,F
2010-01-18,-0.01,O,F
2010-01-19,-0.01,O,F
2010-01-20,-0.03,O,F
2010-01-21,-0.07,O,F
2010-01-22,-0.06,O,F
2010-01-23,-0.06,O,F
2010-01-24,-0.12,O,F
2010-01-25,-0.12,O,F
2010-01-26,-0.02,O,F
2010-01-27,-0.04,O,F
2010-01-28,-0.07,O,F
2010-01-29,-0.08,O,F
2010-01-30,-0.1,O,F
2010-01-31,-0.08,O,F
2010-02-01,-0.05,O,F
2010-02-02,0,O,F
2010-02-03,0,O,F
2010-02-04,-0.02,O,F
2010-02-05,-0.05,O,F
2010-02-06,0.01,O,F
2010-02-07,0.01,O,F
2010-02-08,-0.03,O,F
2010-02-09,-0.06,O,F
2010-02-10,-0.02,O,F
2010-02-11,-0.04,O,F
2010-02-12,-0.07,O,F
2010-02-13,0.01,O,F
2010-02-14,-0.01,O,F
2010-02-15,-0.05,O,F
2010-02-16,-0.04,O,F
2010-02-17,-0.05,O,F
2010-02-18,-0.07,O,F
2010-02-19,-0.09,O,F
2010-02-20,-0.12,O,F
2010-02-21,-0.15,O,F
2010-02-22,-0.15,O,F
2010-02-23,-0.12,O,F
2010-02-24,-0.04,O,F
2010-02-25,0.04,O,F
2010-02-26,-0.03,O,F
2010-02-27,-0.06,O,F
2010-02-28,-0.04,O,F
2010-03-01,-0.06,O,F
2010-03-02,-0.09,O,F
2010-03-03,0.02,O,F
2010-03-04,-0.01,O,F
2010-03-05,-0.02,O,F
2010-03-06,-0.06,O,F
2010-03-07,-0.08,O,F
2010-03-08,-0.12,O,F
2010-03-09,-0.14,O,F
2010-03-10,-0.19,O,F
2010-03-11,-0.24,O,F
2010-03-12,-0.21,O,F
2010-03-13,-0.09,O,F
2010-03-14,-0.14,O,F
2010-03-15,-0.16,O,F
2010-03-16,-0.17,O,F
2010-03-17,-0.19,O,F
2010-03-18,-0.18,O,F
2010-03-19,-0.2,O,F
2010-03-20,-0.25,O,F
2010-03-21,-0.29,O,F
2010-03-22,-0.24,O,F
2010-03-23,-0.23,O,F
2010-03-24,-0.26,O,F
2010-03-25,-0.31,O,F
2010-03-26,-0.3,O,F
2010-03-27,-0.3,O,F
2010-03-28,-0.37,O,F
2010-03-29,-0.37,O,F
2010-03-30,-0.24,O,F
2010-03-31,-0.27,O,F
2010-04-01,-0.3,O,F
2010-04-02,-0.34,O,F
2010-04-03,-0.36,O,F
2010-04-04,-0.37,O,F
2010-04-05,-0.39,O,F
2010-04-06,-0.41,O,F
2010-04-07,-0.44,O,F
2010-04-08,-0.47,O,F
2010-04-09,-0.46,O,F
2010-04-10,-0.46,O,F
2010-04-11,-0.48,O,F
2010-04-12,-0.48,O,F
2010-04-13,-0.5,O,F
2010-04-14,-0.54,O,F
2010-04-15,-0.57,O,F
2010-04-16,-0.59,O,F
2010-04-17,-0.61,O,F
2010-04-18,-0.57,O,F
2010-04-19,-0.53,O,F
2010-04-20,-0.53,O,F
2010-04-21,-0.53,O,F
2010-04-22,-0.54,O,F
2010-04-23,-0.58,O,F
2010-04-24,-0.63,O,F
2010-04-25,-0.65,O,F
2010-04-26,-0.61,O,F
2010-04-27,-0.48,O,F
2010-04-28,-0.48,O,F
2010-04-29,-0.51,O,F
2010-04-30,-0.53,O,F
2010-05-01,-0.56,O,F
2010-05-02,-0.59,O,F
2010-05-03,-0.6,O,F
2010-05-04,-0.6,O,F
2010-05-05,-0.59,O,F
2010-05-06,-0.6,O,F
2010-05-07,-0.6,O,F
2010-05-08,-0.61,O,F
2010-05-09,-0.59,O,F
2010-05-10,-0.61,O,F
2010-05-11,-0.64,O,F
2010-05-12,-0.67,O,F
2010-05-13,-0.69,O,F
2010-05-14,-0.72,O,F
2010-05-15,-0.74,O,F
2010-05-16,-0.75,O,F
2010-05-17,-0.76,O,F
2010-05-18,-0.76,O,F
2010-05-19,-0.75,O,F
2010-05-20,-0.73,O,F
2010-05-21,-0.74,O,F
2010-05-22,-0.76,O,F
2010-05-23,-0.78,O,F
2010-05-24,-0.8,O,F
2010-05-25,-0.81,O,F
2010-05-26,-0.81,O,F
2010-05-27,-0.82,O,F
2010-05-28,-0.83,O,F
2010-05-29,-0.86,O,F
2010-05-30,-0.88,O,F
2010-05-31,-0.89,O,F
2010-06-01,-0.83,O,F
2010-06-02,-0.81,O,F
2010-06-03,-0.68,O,F
2010-06-04,-0.63,O,F
2010-06-05,-0.61,O,F
2010-06-06,-0.6,O,F
2010-06-07,-0.6,O,F
2010-06-08,-0.59,O,F
2010-06-09,-0.5,O,F
2010-06-10,-0.5,O,F
2010-06-11,-0.43,O,F
2010-06-12,-0.4,O,F
2010-06-13,-0.37,O,F
2010-06-14,-0.36,O,F
2010-06-15,-0.34,O,F
2010-06-16,-0.34,O,F
2010-06-17,-0.33,O,F
2010-06-18,-0.27,O,F
2010-06-19,-0.28,O,F
2010-06-20,-0.31,O,F
2010-06-21,-0.34,O,F
2010-06-22,-0.37,O,F
2010-06-23,-0.38,O,F
2010-06-24,-0.4,O,F
2010-06-25,-0.43,O,F
2010-06-26,-0.46,O,F
2010-06-27,-0.47,O,F
2010-06-28,-0.49,O,F
2010-06-29,-0.51,O,F
2010-06-30,-0.5,O,F
2010-07-01,-0.5,O,F
2010-07-02,-0.5,O,F
2010-07-03,-0.49,O,F
2010-07-04,-0.48,O,F
2010-07-05,-0.45,O,F
2010-07-06,-0.32,O,F
2010-07-07,-0.31,O,F
2010-07-08,-0.21,O,F
2010-07-09,-0.18,O,F
2010-07-10,-0.17,O,F
2010-07-11,-0.14,O,F
2010-07-12,-0.11,O,F
2010-07-13,-0.11,O,F
2010-07-14,-0.05,O,F
2010-07-15,-0.05,O,F
2010-07-16,-0.04,O,F
2010-07-17,-0.04,O,F
2010-07-18,-0.04,O,F
2010-07-19,-0.05,O,F
2010-07-20,-0.08,O,F
2010-07-21,-0.07,O,F
2010-07-22,-0.07,O,F
2010-07-23,-0.04,O,F
2010-07-24,-0.08,O,F
2010-07-25,-0.06,O,F
2010-07-26,-0.06,O,F
2010-07-27,-0.07,O,F
2010-07-28,-0.08,O,F
2010-07-29,-0.09,O,F
2010-07-30,-0.1,O,F
2010-07-31,-0.12,O,F
2010-08-01,-0.14,O,F
2010-08-02,-0.03,O,F
2010-08-03,-0.02,O,F
2010-08-04,0.03,O,F
2010-08-05,0.01,O,F
2010-08-06,0,O,F
2010-08-07,-0.01,O,F
2010-08-08,0.01,O,F
2010-08-09,0.05,O,F
2010-08-10,0.14,O,F
2010-08-11,0.17,O,F
2010-08-12,0.18,O,F
2010-08-13,0.19,O,F
2010-08-14,0.22,O,F
2010-08-15,0.26,O,F
2010-08-16,0.3,O,F
2010-08-17,0.32,O,F
2010-08-18,0.28,O,F
2010-08-19,0.27,O,F
2010-08-20,0.27,O,F
2010-08-21,0.27,O,F
2010-08-22,0.42,O,F
2010-08-23,0.4,O,F
2010-08-24,0.39,O,F
2010-08-25,0.36,O,F
2010-08-26,0.39,O,F
2010-08-27,0.37,O,F
2010-08-28,0.33,O,F
2010-08-29,0.33,O,F
2010-08-30,0.36,O,F
2010-08-31,0.4,O,F
2010-09-01,0.39,O,F
2010-09-02,0.36,O,F
2010-09-03,0.33,O,F
2010-09-04,0.32,O,F
2010-09-05,0.29,O,F
2010-09-06,0.32,O,F
2010-09-07,0.33,O,F
2010-09-08,0.35,O,F
2010-09-09,0.33,O,F
2010-09-10,0.33,O,F
2010-09-11,0.39,O,F
2010-09-12,0.45,O,F
2010-09-13,0.44,O,F
2010-09-14,0.41,O,F
2010-09-15,0.43,O,F
2010-09-16,0.5,O,F
2010-09-17,0.7,O,F
2010-09-18,0.68,O,F
2010-09-19,0.64,O,F
2010-09-20,0.6,O,F
2010-09-21,0.55,O,F
2010-09-22,0.52,O,F
2010-09-23,0.5,O,F
2010-09-24,0.52,O,F
2010-09-25,0.51,O,F
2010-09-26,0.49,O,F
2010-09-27,0.45,O,F
2010-09-28,0.45,O,F
2010-09-29,0.74,O,F
2010-09-30,0.89,O,F
2010-10-01,0.83,O,F
2010-10-02,0.77,O,F
2010-10-03,0.72,O,F
2010-10-04,0.7,O,F
2010-10-05,0.67,O,F
2010-10-06,0.63,O,F
2010-10-07,0.59,O,F
2010-10-08,0.55,O,F
2010-10-09,0.51,O,F
2010-10-10,0.48,O,F
2010-10-11,0.45,O,F
2010-10-12,0.44,O,F
2010-10-13,0.47,O,F
2010-10-14,0.48,O,F
2010-10-15,0.47,O,F
2010-10-16,0.45,O,F
2010-10-17,0.43,O,F
2010-10-18,0.4,O,F
2010-10-19,0.38,O,F
2010-10-20,0.37,O,F
2010-10-21,0.39,O,F
2010-10-22,0.37,O,F
2010-10-23,0.35,O,F
2010-10-24,0.33,O,F
2010-10-25,0.31,O,F
2010-10-26,0.3,O,F
2010-10-27,0.29,O,F
2010-10-28,0.27,O,F
2010-10-29,0.26,O,F
2010-10-30,0.25,O,F
2010-10-31,0.24,O,F
2010-11-01,0.24,O,F
2010-11-02,0.22,O,F
2010-11-03,0.22,O,F
2010-11-04,0.33,O,F
2010-11-05,0.36,O,F
2010-11-06,0.33,O,F
2010-11-07,0.32,O,F
2010-11-08,0.3,O,F
2010-11-09,0.26,O,F
2010-11-10,0.25,O,F
2010-11-11,0.24,O,F
2010-11-12,0.23,O,F
2010-11-13,0.21,O,F
2010-11-14,0.19,O,F
2010-11-15,0.18,O,F
2010-11-16,0.16,O,F
2010-11-17,0.16,O,F
2010-11-18,0.15,O,F
2010-11-19,0.14,O,F
2010-11-20,0.11,O,F
2010-11-21,0.1,O,F
2010-11-22,0.08,O,F
2010-11-23,0.07,O,F
2010-11-24,0.07,O,F
2010-11-25,0.05,O,F
2010-11-26,0.04,O,F
2010-11-27,0.04,O,F
2010-11-28,0.04,O,F
2010-11-29,0.01,O,F
2010-11-30,-0.01,O,F
2010-12-01,-0.01,O,F
2010-12-02,-0.01,O,F
2010-12-03,-0.03,O,F
2010-12-04,-0.05,O,F
2010-12-05,-0.06,O,F
2010-12-06,-0.06,O,F
2010-12-07,-0.07,O,F
2010-12-08,-0.09,O,F
2010-12-09,-0.1,O,F
2010-12-10,-0.1,O,F
2010-12-11,-0.11,O,F
2010-12-12,-0.12,O,F
2010-12-13,-0.13,O,F
2010-12-14,-0.12,O,F
2010-12-15,-0.15,O,F
2010-12-16,-0.18,O,F
2010-12-17,-0.18,O,F
2010-12-18,-0.18,O,F
2010-12-19,-0.16,O,F
2010-12-20,-0.17,O,F
2010-12-21,-0.19,O,F
2010-12-22,-0.19,O,F
2010-12-23,-0.19,O,F
2010-12-24,-0.2,O,F
2010-12-25,-0.22,O,F
2010-12-26,-0.2,O,F
2010-12-27,-0.2,O,F
2010-12-28,-0.21,O,F
2010-12-29,-0.23,O,F
2010-12-30,-0.25,O,F
2010-12-31,-0.26,O,F
2011-01-01,-0.28,O,F
2011-01-02,-0.28,O,F
2011-01-03,-0.28,O,F
2011-01-04,-0.28,O,F
2011-01-05,-0.29,O,F
2011-01-06,-0.29,O,F
2011-01-07,-0.3,O,F
2011-01-08,-0.31,O,F
2011-01-09,-0.31,O,F
2011-01-10,-0.32,O,F
2011-01-11,-0.32,O,F
2011-01-12,-0.32,O,F
2011-01-13,-0.33,O,F
2011-01-14,-0.34,O,F
2011-01-15,-0.36,O,F
2011-01-16,-0.37,O,F
2011-01-17,-0.31,O,F
2011-01-18,-0.02,O,F
2011-01-19,-0.03,O,F
2011-01-20,-0.07,O,F
2011-01-21,-0.07,O,F
2011-01-22,-0.05,O,F
2011-01-23,-0.06,O,F
2011-01-24,-0.08,O,F
2011-01-25,-0.11,O,F
2011-01-26,-0.05,O,F
2011-01-27,-0.05,O,F
2011-01-28,-0.05,O,F
2011-01-29,-0.07,O,F
2011-01-30,-0.08,O,F
2011-01-31,-0.09,O,F
2011-02-01,-0.1,O,F
2011-02-02,-0.12,O,F
2011-02-03,-0.11,O,F
2011-02-04,-0.14,O,F
2011-02-05,-0.15,O,F
2011-02-06,-0.15,O,F
2011-02-07,-0.17,O,F
2011-02-08,-0.18,O,F
2011-02-09,-0.2,O,F
2011-02-10,-0.19,O,F
2011-02-11,-0.2,O,F
2011-02-12,-0.2,O,F
2011-02-13,-0.21,O,F
2011-02-14,-0.24,O,F
2011-02-15,-0.25,O,F
2011-02-16,-0.26,O,F
2011-02-17,-0.27,O,F
2011-02-18,-0.29,O,F
2011-02-19,-0.29,O,F
2011-02-20,-0.3,O,F
2011-02-21,-0.32,O,F
2011-02-22,-0.32,O,F
2011-02-23,-0.33,O,F
2011-02-24,-0.34,O,F
2011-02-25,-0.36,O,F
2011-02-26,-0.37,O,F
2011-02-27,-0.38,O,F
2011-02-28,-0.4,O,F
2011-03-01,-0.4,O,F
2011-03-02,-0.41,O,F
2011-03-03,-0.44,O,F
2011-03-04,-0.46,O,F
2011-03-05,-0.48,O,F
2011-03-06,-0.49,O,F
2011-03-07,-0.49,O,F
2011-03-08,-0.51,O,F
2011-03-09,-0.54,O,F
2011-03-10,-0.53,O,F
2011-03-11,-0.52,O,F
2011-03-12,-0.53,O,F
2011-03-13,-0.54,O,F
2011-03-14,-0.56,O,F
2011-03-15,-0.58,O,F
2011-03-16,-0.58,O,F
2011-03-17,-0.6,O,F
2011-03-18,-0.61,O,F
2011-03-19,-0.63,O,F
2011-03-20,-0.65,O,F
2011-03-21,-0.66,O,F
2011-03-22,-0.68,O,F
2011-03-23,-0.7,O,F
2011-03-24,-0.71,O,F
2011-03-25,-0.73,O,F
2011-03-26,-0.74,O,F
2011-03-27,-0.77,O,F
2011-03-28,-0.77,O,F
2011-03-29,-0.6,O,F
2011-03-30,-0.62,O,F
2011-03-31,-0.63,O,F
2011-04-01,-0.63,O,F
2011-04-02,-0.65,O,F
2011-04-03,-0.67,O,F
2011-04-04,-0.69,O,F
2011-04-05,-0.72,O,F
2011-04-06,-0.72,O,F
2011-04-07,-0.73,O,F
2011-04-08,-0.75,O,F
2011-04-09,-0.77,O,F
2011-04-10,-0.78,O,F
2011-04-11,-0.8,O,F
2011-04-12,-0.82,O,F
2011-04-13,-0.83,O,F
2011-04-14,-0.85,O,F
2011-04-15,-0.88,O,F
2011-04-16,-0.89,O,F
2011-04-17,-0.91,O,F
2011-04-18,-0.93,O,F
2011-04-19,-0.94,O,F
2011-04-20,-0.97,O,F
2011-04-21,-0.99,O,F
2011-04-22,-1.01,O,F
2011-04-23,-1.03,O,F
2011-04-24,-1.05,O,F
2011-04-25,-1.07,O,F
2011-04-26,-1.1,O,F
2011-04-27,-1.12,O,F
2011-04-28,-1.14,O,F
2011-04-29,-1.17,O,F
2011-04-30,-1.19,O,F
2011-05-01,-1.2,O,F
2011-05-02,-1.22,O,F
2011-05-03,-1.25,O,F
2011-05-04,-1.29,O,F
2011-05-05,-1.3,O,F
2011-05-06,-1.32,O,F
2011-05-07,-1.35,O,F
2011-05-08,-1.38,O,F
2011-05-09,-1.3,O,F
2011-05-10,-1.32,O,F
2011-05-11,-1.33,O,F
2011-05-12,-1.34,O,F
2011-05-13,-1.34,O,F
2011-05-14,-1.36,O,F
2011-05-15,-1.37,O,F
2011-05-16,-1.38,O,F
2011-05-17,-1.41,O,F
2011-05-18,-1.44,O,F
2011-05-19,-1.47,O,F
2011-05-20,-1.5,O,F
2011-05-21,-1.53,O,F
2011-05-22,-1.57,O,F
